"premise","hypothesis","label"
"Prezado Suporte, venho por meio desta solicitar a emissão de um novo cartão de crédito para minha conta. O meu atual venceu no mês passado.","O cliente deseja um novo cartão.","entailment"
"Boa tarde, gostaria de saber se é possível alterar a data de vencimento da minha fatura de março para o dia 20.","O cliente quer alterar a data de vencimento da fatura.","entailment"
"Olá, estou com uma dúvida sobre a taxa de juros do meu empréstimo pessoal. Poderiam me detalhar os valores?","O cliente está perguntando sobre taxas de juros de um empréstimo.","entailment"
"Prezados, venho informar que o valor de R$ 500,00 foi cobrado indevidamente na minha última fatura. Por favor, verifiquem o ocorrido.","O cliente está reportando uma cobrança indevida.","entailment"
"Olá equipe, por favor me envie o extrato bancário dos últimos 6 meses da minha conta corrente.","O cliente quer o extrato de sua conta.","entailment"
"Bom dia, quero saber como faço para transferir dinheiro para a conta de outra pessoa usando o aplicativo.","O cliente precisa de ajuda para fazer uma transferência.","entailment"
"Gostaria de solicitar um aumento do meu limite de crédito. Já sou cliente há 5 anos e tenho boa pontuação.","O cliente quer um limite maior.","entailment"
"Olá, recebi um SMS informando sobre uma compra de alto valor que não reconheço.","O cliente está reportando fraude.","entailment"
"Olá, por favor, me ajude a redefinir minha senha de acesso ao Internet Banking. Não consigo entrar na minha conta.","O cliente precisa redefinir a senha.","entailment"
"Gostaria de cancelar meu seguro de vida que está atrelado à minha conta. Não tenho mais interesse no serviço.","O cliente quer cancelar um seguro.","entailment"
"Prezados, o aplicativo está travando muito e não consigo realizar operações.","O cliente tem um problema técnico com o aplicativo.","entailment"
"Recebi a fatura e o valor parece incorreto. Poderiam revisar a fatura de abril?","O cliente está questionando o valor de uma fatura.","entailment"
"Estou planejando um investimento de longo prazo. Poderiam me apresentar as opções disponíveis?","O cliente está interessado em investir.","entailment"
"Boa tarde, não consigo acessar minha conta. A mensagem diz ""conta bloqueada"".","O cliente não consegue acessar a conta.","entailment"
"Olá, venho por este email solicitar um empréstimo para quitar uma dívida que possuo em outro banco.","O cliente quer um empréstimo para consolidar uma dívida.","entailment"
"Prezados, o juros do meu cartão de crédito está muito alto. Poderiam me oferecer uma renegociação?","O cliente quer renegociar uma dívida.","entailment"
"Gostaria de saber se a empresa oferece alguma linha de crédito para pequenas empresas.","O cliente está perguntando sobre crédito para pequenas empresas.","entailment"
"Recebi uma notificação sobre um pacote de viagem incrível.","O cliente está comprando uma viagem.","neutral"
"O saldo da minha conta não está atualizando. Poderiam verificar por que?","O cliente tem um problema com o saldo.","entailment"
"Por favor, gostaria de fechar minha conta bancária.","O cliente quer encerrar a conta.","entailment"
"Como faço para ativar as notificações por SMS para as minhas transações?","O cliente quer ativar notificações de transações.","entailment"
"Meus pais estão com problemas no acesso, por favor, ajudem-nos.","O cliente está ajudando os pais com um problema.","neutral"
"O aplicativo da empresa foi premiado como o melhor de 2024.","O cliente está elogiando o aplicativo.","neutral"
"O valor da transferência chegou à conta destino?","O cliente quer saber sobre o status de uma transferência.","entailment"
"Qual o horário de funcionamento das agências no feriado?","O cliente quer saber o horário de funcionamento das agências.","entailment"
"Recebi um email dizendo que fui sorteado em uma promoção.","O cliente foi sorteado.","neutral"
"Estou com dificuldade para visualizar o código do PIX no app.","O cliente tem dificuldade com o PIX.","entailment"
"Gostaria de saber se o meu cartão de débito tem a função aproximação.","O cliente quer saber sobre a funcionalidade do cartão.","entailment"
"Minha agência fechou. Para onde meus dados foram transferidos?","O cliente tem uma agência fechada.","entailment"
"O valor de uma TED que fiz na semana passada foi estornado para a minha conta. Por que isso ocorreu?","O cliente quer saber sobre um estorno.","entailment"
"Não consigo fazer o download do boleto de pagamento da fatura.","O cliente tem problema para baixar um boleto.","entailment"
"Recebi uma oferta de seguro de carro.","O cliente está procurando seguro de carro.","neutral"
"Me ajudem, minha conta foi hackeada e estão fazendo transações.","O cliente tem um problema de segurança.","entailment"
"Estou em outro país e meu cartão não está funcionando para compras.","O cliente está tendo problemas com o cartão no exterior.","entailment"
"Quero saber mais sobre o fundo de investimento de renda fixa.","O cliente quer informações sobre um fundo de investimento.","entailment"
"Preciso do meu comprovante de imposto de renda. Onde consigo?","O cliente precisa do comprovante de imposto de renda.","entailment"
"Vi na televisão que a bolsa de valores está em alta.","O cliente está falando sobre a bolsa de valores.","neutral"
"Gostaria de um relatório de gastos detalhado dos últimos 3 meses.","O cliente quer um relatório de gastos.","entailment"
"O aplicativo não está aceitando o reconhecimento facial.","O cliente tem um problema com o reconhecimento facial.","entailment"
"Aguardando uma resposta sobre a minha solicitação de empréstimo.","O cliente está aguardando uma resposta sobre uma solicitação.","entailment"
"O valor da minha poupança foi reduzido, mas não fiz nenhuma retirada.","O cliente tem uma inconsistência na poupança.","entailment"
"Recebi um e-mail de phishing e o bloqueei.","O cliente recebeu um e-mail de phishing.","neutral"
"Não estou conseguindo pagar uma conta de água no aplicativo.","O cliente tem dificuldade para pagar uma conta.","entailment"
"Gostaria de saber o saldo da minha conta de aposentadoria.","O cliente quer saber o saldo de aposentadoria.","entailment"
"Quero que me informem sobre as taxas de câmbio para dólar.","O cliente quer informações sobre câmbio.","entailment"
"Vocês têm alguma linha de crédito para estudantes universitários?","O cliente busca crédito para estudantes.","entailment"
"A minha transferência de R$ 100,00 foi para a pessoa errada.","O cliente fez uma transferência errada.","entailment"
"O aplicativo tem um design muito bonito.","O cliente está elogiando o design do aplicativo.","neutral"
"Não consigo mais acessar o meu perfil de investidor na plataforma.","O cliente tem dificuldade de acesso ao perfil de investidor.","entailment"
"Minha conta foi suspensa sem motivo aparente. Poderiam verificar?","O cliente tem uma conta suspensa.","entailment"
"Perdi meu cartão e preciso de um novo urgentemente.","O cliente perdeu o cartão.","entailment"
"A fatura do meu cartão de crédito não chegou por e-mail.","O cliente não recebeu a fatura do cartão.","entailment"
"Tenho um problema com o meu aplicativo de celular.","O cliente tem um problema com o aplicativo.","neutral"
"Meu PIX foi bloqueado. Por quê?","O cliente tem o PIX bloqueado.","entailment"
"O valor da minha conta foi duplicado em duas transações.","O cliente tem uma transação duplicada.","entailment"
"Gostaria de saber sobre os novos pacotes de benefícios.","O cliente quer saber sobre os novos benefícios.","entailment"
"Recebi um alerta de transação suspeita. É legítimo?","O cliente recebeu um alerta de transação suspeita.","entailment"
"O aplicativo está pedindo uma atualização de software que eu já fiz.","O cliente tem um problema de atualização de software.","entailment"
"O saldo da minha conta corrente está negativo.","O cliente tem saldo negativo.","entailment"
